12.08:23.15.04ERROR	ru.sfedu.mydiplom.dao.CsvAPI:156 - 
12.08:23.15.05ERROR	ru.sfedu.mydiplom.dao.CsvAPI:156 - 
12.08:23.15.05ERROR	ru.sfedu.mydiplom.dao.CsvAPI:156 - 
12.08:23.15.05ERROR	ru.sfedu.mydiplom.dao.CsvAPI:156 - 
12.08:23.15.05TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481226039250;35000.0;0;20;10.0;1481226039250;0;0
12.08:23.15.05TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481226039253;70000.0;0;20;10.0;1481226039253;0;0
12.08:23.15.05TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481226039258;105000.0;0;20;10.0;1481226039258;0;0
12.08:23.15.05TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481226039263;140000.0;0;20;10.0;1481226039263;0;0
12.08:23.15.05TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481226039270;175000.0;0;20;10.0;1481226039270;0;0
12.08:23.15.05TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481226039280;210000.0;0;20;10.0;1481226039280;0;0
12.08:23.15.05TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481226039291;245000.0;0;20;10.0;1481226039291;0;0
12.08:23.15.05TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481226039301;280000.0;0;20;10.0;1481226039301;0;0
12.08:23.15.05TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481226039312;315000.0;0;20;10.0;1481226039312;0;0
12.08:23.15.05TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481227812570;35000.0;0;20;10.0;1481227812570;0;0
12.08:23.15.05TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481227812592;70000.0;0;20;10.0;1481227812592;0;0
12.08:23.15.05TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481227812609;105000.0;0;20;10.0;1481227812609;0;0
12.08:23.15.05TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481227812628;140000.0;0;20;10.0;1481227812628;0;0
12.08:23.15.05TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481227812647;175000.0;0;20;10.0;1481227812647;0;0
12.08:23.15.05TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481227812667;210000.0;0;20;10.0;1481227812667;0;0
12.08:23.15.05TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481227812694;245000.0;0;20;10.0;1481227812694;0;0
12.08:23.15.05TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481227812717;280000.0;0;20;10.0;1481227812717;0;0
12.08:23.15.05TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481227812741;315000.0;0;20;10.0;1481227812741;0;0
12.08:23.15.05ERROR	ru.sfedu.mydiplom.dao.CsvAPI:156 - 
12.08:23.15.05ERROR	ru.sfedu.mydiplom.dao.CsvAPI:156 - 
12.08:23.16.32ERROR	ru.sfedu.mydiplom.dao.CsvAPI:156 - 
12.08:23.16.32ERROR	ru.sfedu.mydiplom.dao.CsvAPI:156 - 
12.08:23.16.32ERROR	ru.sfedu.mydiplom.dao.CsvAPI:156 - 
12.08:23.16.32ERROR	ru.sfedu.mydiplom.dao.CsvAPI:156 - 
12.08:23.16.32TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481226039250;35000.0;0;20;10.0;1481226039250;0;0
12.08:23.16.32TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481226039253;70000.0;0;20;10.0;1481226039253;0;0
12.08:23.16.32TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481226039258;105000.0;0;20;10.0;1481226039258;0;0
